datetime,True_Label,Predicted_Label
01/01/2018 01:15,3.82,3.952162
01/01/2018 01:30,3.28,29.733541
01/01/2018 01:45,3.6,29.733541
01/01/2018 02:00,3.6,29.733541
01/01/2018 02:15,3.28,29.733541
01/01/2018 02:30,3.78,29.733541
01/01/2018 02:45,3.46,29.733541
01/01/2018 03:00,3.24,29.733541
01/01/2018 03:15,3.96,29.733541
01/01/2018 03:30,3.31,29.733541
01/01/2018 03:45,3.31,29.733541
01/01/2018 04:00,3.89,29.733541
01/01/2018 04:15,3.28,29.733541
01/01/2018 04:30,3.56,29.733541
01/01/2018 04:45,3.74,29.733541
01/01/2018 05:00,3.31,29.733541
01/01/2018 05:15,3.56,29.733541
01/01/2018 05:30,3.56,29.733541
01/01/2018 05:45,3.28,29.733541
01/01/2018 06:00,3.78,29.733541
01/01/2018 06:15,3.35,29.733541
01/01/2018 06:30,3.24,29.733541
01/01/2018 06:45,3.89,29.733541
01/01/2018 07:00,3.31,29.733541
01/01/2018 07:15,3.28,29.733541
01/01/2018 07:30,3.85,29.733541
01/01/2018 07:45,3.2,29.733541
01/01/2018 08:00,3.31,29.733541
01/01/2018 08:15,3.78,29.733541
01/01/2018 08:30,3.28,29.733541
01/01/2018 08:45,3.49,29.733541
01/01/2018 09:00,3.89,29.733541
01/01/2018 09:15,3.6,29.733541
01/01/2018 09:30,4.03,29.733541
01/01/2018 09:45,3.92,29.733541
01/01/2018 10:00,3.64,29.733541
01/01/2018 10:15,4.07,29.733541
01/01/2018 10:30,3.71,29.733541
01/01/2018 10:45,3.6,29.733541
01/01/2018 11:00,4.21,29.733541
01/01/2018 11:15,3.49,29.733541
01/01/2018 11:30,3.46,29.733541
01/01/2018 11:45,4.0,29.733541
01/01/2018 12:00,3.49,29.733541
01/01/2018 12:15,3.6,29.733541
01/01/2018 12:30,4.25,29.733541
01/01/2018 12:45,3.67,29.733541
01/01/2018 13:00,3.67,29.733541
01/01/2018 13:15,4.25,29.733541
01/01/2018 13:30,3.64,29.733541
01/01/2018 13:45,3.67,29.733541
01/01/2018 14:00,4.28,29.733541
01/01/2018 14:15,3.64,29.733541
01/01/2018 14:30,3.78,29.733541
01/01/2018 14:45,4.1,29.733541
01/01/2018 15:00,3.64,29.733541
01/01/2018 15:15,3.92,29.733541
01/01/2018 15:30,4.1,29.733541
01/01/2018 15:45,3.6,29.733541
01/01/2018 16:00,3.96,29.733541
01/01/2018 16:15,4.0,29.733541
01/01/2018 16:30,3.6,29.733541
01/01/2018 16:45,4.07,29.733541
01/01/2018 17:00,3.82,29.733541
01/01/2018 17:15,3.56,29.733541
01/01/2018 17:30,4.1,29.733541
01/01/2018 17:45,3.6,29.733541
01/01/2018 18:00,3.6,29.733541
01/01/2018 18:15,4.0,29.733541
01/01/2018 18:30,3.42,29.733541
01/01/2018 18:45,3.67,29.733541
01/01/2018 19:00,4.07,29.733541
01/01/2018 19:15,3.53,29.733541
01/01/2018 19:30,3.85,29.733541
01/01/2018 19:45,3.96,29.733541
01/01/2018 20:00,3.56,29.733541
01/01/2018 20:15,4.03,29.733541
01/01/2018 20:30,3.74,29.733541
01/01/2018 20:45,3.56,29.733541
01/01/2018 21:00,4.21,29.733541
01/01/2018 21:15,3.56,29.733541
01/01/2018 21:30,3.53,29.733541
01/01/2018 21:45,4.25,29.733541
01/01/2018 22:00,3.53,29.733541
01/01/2018 22:15,3.56,29.733541
01/01/2018 22:30,3.67,29.733541
01/01/2018 22:45,3.24,29.733541
01/01/2018 23:00,3.53,29.733541
01/01/2018 23:15,3.53,29.733541
01/01/2018 23:30,3.24,29.733541
01/01/2018 23:45,3.67,29.733541
01/02/2018 00:00,104.65,29.733541
01/02/2018 00:15,84.49,29.631979
01/02/2018 00:30,77.22,29.680075
01/02/2018 00:45,74.05,29.702421
01/02/2018 01:00,88.96,29.707743
